2024-05-08 15:13:03.078 | INFO     | maa:my_callback:110 | {'device': 'Aur3'} - [基建] Dorm@2: ['夜莺']
2024-05-08 15:13:36.425 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.ConnectionInfo", "details": {"details": {"avg": 399, "max": 640, "min": 337}, "uuid": "964a0e3098094919", "what": "ScreencapCost"}}
2024-05-08 15:13:36.427 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskExtraInfo", "details": {"class": "asst::ProcessTask", "details": {"exec_times": 2, "limit_type": "pre", "max_times": 2, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "InfrastOperListTabMoodDoubleClick", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919", "what": "ExceededLimit"}}
2024-05-08 15:13:37.923 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "Swipe", "algorithm": "JustReturn", "exec_times": 1, "max_times": 50, "result": null, "task": "InfrastOperListSlowlySwipeToTheRight"}, "first": ["InfrastOperListSlowlySwipeToTheRight"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:38.883 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "Swipe", "algorithm": "JustReturn", "exec_times": 1, "max_times": 50, "result": null, "task": "InfrastOperListSlowlySwipeToTheRight"}, "first": ["InfrastOperListSlowlySwipeToTheRight"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:39.538 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "Swipe", "algorithm": "JustReturn", "exec_times": 1, "max_times": 50, "result": null, "task": "InfrastOperListSlowlySwipeToTheRight"}, "first": ["InfrastOperListSlowlySwipeToTheRight"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:40.496 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "Swipe", "algorithm": "JustReturn", "exec_times": 1, "max_times": 50, "result": null, "task": "InfrastOperListSlowlySwipeToTheRight"}, "first": ["InfrastOperListSlowlySwipeToTheRight"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:41.184 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "Swipe", "algorithm": "JustReturn", "exec_times": 1, "max_times": 50, "result": null, "task": "InfrastOperListSlowlySwipeToTheRight"}, "first": ["InfrastOperListSlowlySwipeToTheRight"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:42.141 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "Swipe", "algorithm": "JustReturn", "exec_times": 1, "max_times": 50, "result": null, "task": "InfrastOperListSlowlySwipeToTheRight"}, "first": ["InfrastOperListSlowlySwipeToTheRight"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:42.815 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "Swipe", "algorithm": "JustReturn", "exec_times": 1, "max_times": 50, "result": null, "task": "InfrastOperListSlowlySwipeToTheRight"}, "first": ["InfrastOperListSlowlySwipeToTheRight"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:43.772 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "Swipe", "algorithm": "JustReturn", "exec_times": 1, "max_times": 50, "result": null, "task": "InfrastOperListSlowlySwipeToTheRight"}, "first": ["InfrastOperListSlowlySwipeToTheRight"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:44.447 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "Swipe", "algorithm": "JustReturn", "exec_times": 1, "max_times": 50, "result": null, "task": "InfrastOperListSlowlySwipeToTheRight"}, "first": ["InfrastOperListSlowlySwipeToTheRight"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
